title,artist,album,isFound,audio
Africa,TOTO,Toto IV,1,Toto - Africa (Official Music Video)-FTQbiNvZqaY.webm
All About That Bass,Meghan Trainor,All About That Bass,1,Meghan Trainor - All About That Bass (Official Music Video)-7PCkvCPvDXk.webm
American Pie,Don McLean,The Best Of Don McLean,1,American Pie-iX_TFkut1PM.webm
Before He Cheats,Carrie Underwood,Some Hearts,1,Carrie Underwood - Before He Cheats (Official Video)-WaSy8yy-mr8.webm
Blackbird - Remastered,The Beatles,The Beatles (Remastered),1,Blackbird (Remastered 2009)-Man4Xw8Xypo.webm
Born to Run,Bruce Springsteen,Born To Run,1,Bruce Springsteen - Born to Run (Official Music Video)-IxuThNgl3YA.webm
Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,1,Simon & Garfunkel - Bridge Over Troubled Water (Audio)-4G-YQA_bsOU.webm
Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),1,Build Me Up Buttercup-Nl_2iEP1Wts.m4a
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,1,Carly Rae Jepsen - Call Me Maybe-fWNaR-rxAic.webm
Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),1,Eric Clapton - Cocaine + lyrics-3bEUaeG4wH4.webm
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,1,Come On Eileen-GbpnAGajyMc.webm
Come Sail Away,Styx,The Grand Illusion,1,Styx - Come Sail Away (Official Video)-e5MAg_yWsq8.webm
Crazy,Gnarls Barkley,St. Elsewhere,1,Gnarls Barkley - Crazy (Official Video)--N4jf6rtyuw.webm
Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,1,10. Rupert Holmes - Escape (The Piña Colada Song)-TazHNpt6OTo.m4a
Every Breath You Take,The Police,Every Breath You Take : The Classics,1,The Police - Every Breath You Take-OMOGaugKpzs.webm
Everyday I Write The Book,Elvis Costello & The Attractions,Punch The Clock,1,Elvis Costello & The Attractions - Everyday I Write The Book-V1d4r9awjKE.webm
Fast Car,"Jonas Blue, Dakota",Fast Car,1,Jonas Blue ft. Dakota - Fast Car Official Music Video-0wpuR68uw-8.webm
Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,1,Free Bird-CqnU_sJ8V-E.webm
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],1,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers-5NV6Rdv1a3I.webm"
Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),1,Cyndi Lauper - Girls Just Want To Have Fun (Official Video)-PIb6AZdTr-A.webm
Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,0,Go Your Own Way (2004 Remaster)-DubafeFeJ7Y.webm
God Only Knows - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),1,God Only Knows (Remastered)-CWPo5SC3zik.m4a
Gold Digger,"Kanye West, Jamie Foxx",Late Registration,1,Kanye West - Gold Digger ft. Jamie Foxx-6vwNcNOTVzY.m4a
Good Vibrations - Remastered,The Beach Boys,Good Vibrations 40th Anniversary,1,GOOD VIBRATIONS (HD) THE BEACH BOYS-mdt0SOqPJcg.webm
Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),1,Pharrell Williams - Happy (Official Music Video)-ZbZSe6N_BXs.webm
Have You Ever Seen The Rain,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,1,Creedence Clearwater Revival - Have You Ever Seen The Rain-Gu2pVPWGYMQ.webm
