[youtube] YxvBPH4sArQ: Downloading webpage
[youtube] Downloading just video YxvBPH4sArQ because of --no-playlist
[download] Destination: /Users/robert/Downloads/Bee Gees Stayin Alive (Extended Remaster)-YxvBPH4sArQ.webm
[download]   0.0% of 6.30MiB at 691.10KiB/s ETA 00:09
[download]   0.0% of 6.30MiB at  1.62MiB/s ETA 00:03
[download]   0.1% of 6.30MiB at  3.15MiB/s ETA 00:02
[download]   0.2% of 6.30MiB at  5.58MiB/s ETA 00:01
[download]   0.5% of 6.30MiB at  1.37MiB/s ETA 00:04
[download]   1.0% of 6.30MiB at  2.08MiB/s ETA 00:03
[download]   2.0% of 6.30MiB at  2.17MiB/s ETA 00:02
[download]   4.0% of 6.30MiB at  3.02MiB/s ETA 00:02
[download]   7.9% of 6.30MiB at  4.17MiB/s ETA 00:01
[download]  15.8% of 6.30MiB at  6.19MiB/s ETA 00:00
[download]  31.7% of 6.30MiB at  3.27MiB/s ETA 00:01
[download]  63.4% of 6.30MiB at  5.01MiB/s ETA 00:00
[download] 100.0% of 6.30MiB at  5.93MiB/s ETA 00:00
[download] 100% of 6.30MiB in 00:01
