[youtube] f3t9SfrfDZM: Downloading webpage
[youtube] Downloading just video f3t9SfrfDZM because of --no-playlist
[download] Destination: /Users/robert/Downloads/Bruce Springsteen - Born To Run-f3t9SfrfDZM.webm
[download]   0.0% of 4.12MiB at 272.41KiB/s ETA 00:15
[download]   0.1% of 4.12MiB at 793.92KiB/s ETA 00:05
[download]   0.2% of 4.12MiB at  1.73MiB/s ETA 00:02
[download]   0.4% of 4.12MiB at  3.55MiB/s ETA 00:01
[download]   0.7% of 4.12MiB at  1.08MiB/s ETA 00:03
[download]   1.5% of 4.12MiB at  1.46MiB/s ETA 00:02
[download]   3.0% of 4.12MiB at  1.93MiB/s ETA 00:02
[download]   6.0% of 4.12MiB at  2.59MiB/s ETA 00:01
[download]  12.1% of 4.12MiB at  3.92MiB/s ETA 00:00
[download]  24.2% of 4.12MiB at  5.99MiB/s ETA 00:00
[download]  48.5% of 4.12MiB at  9.26MiB/s ETA 00:00
[download]  97.0% of 4.12MiB at 13.04MiB/s ETA 00:00
[download] 100.0% of 4.12MiB at 13.30MiB/s ETA 00:00
[download] 100% of 4.12MiB in 00:00
