[youtube] 3bEUaeG4wH4: Downloading webpage
[download] Destination: /Users/robert/Downloads/Eric Clapton - Cocaine + lyrics-3bEUaeG4wH4.webm
[download]   0.0% of 3.54MiB at 215.80KiB/s ETA 00:16
[download]   0.1% of 3.54MiB at 628.55KiB/s ETA 00:05
[download]   0.2% of 3.54MiB at  1.39MiB/s ETA 00:02
[download]   0.4% of 3.54MiB at  2.89MiB/s ETA 00:01
[download]   0.9% of 3.54MiB at  1.97MiB/s ETA 00:01
[download]   1.7% of 3.54MiB at  1.83MiB/s ETA 00:01
[download]   3.5% of 3.54MiB at  2.82MiB/s ETA 00:01
[download]   7.0% of 3.54MiB at  3.61MiB/s ETA 00:00
[download]  14.1% of 3.54MiB at  4.79MiB/s ETA 00:00
[download]  28.2% of 3.54MiB at  6.47MiB/s ETA 00:00
[download]  56.5% of 3.54MiB at  7.70MiB/s ETA 00:00
[download] 100.0% of 3.54MiB at  8.90MiB/s ETA 00:00
[download] 100% of 3.54MiB in 00:00
