Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
Alex Trebek first hosted \emph{Jeopardy!} in this year.,What is 1984?,Alex Trebek,Alex Trebek,,trebek1984.jpg,,
Alex Trebek won the Daytime Emmy Award for Outstanding Game Show Host this many times.,What is seven?,Alex Trebek,Alex Trebek,,trebekemmy.jpg,,
This was the name of the American Bandstand-like Canadian pop music show that was the first show that Trebek ever hosted.,What is \emph{Music Hop}?,Alex Trebek,Alex Trebek,,musichop.jpg,,
"On April Fool’s Day, 1997, Trebek traded places with this other famous game show host, each one hosting the other’s game show for the day.",Who is Pat Sajak?,Alex Trebek,Alex Trebek,,sajak.jpeg,,
This is the title of Alex Trebek’s recently-published memoir.,What is \emph{The Answer Is…: Reflections On My Life}? (We’ll accept just \emph{The Answer Is}.),Alex Trebek,Alex Trebek,,answeris.jpg,,
"In 1991, Alex Trebek became the first person to be the host of this many game shows at the same time.",What is three?,Alex Trebek,Alex Trebek,,gameshows.jpg,,
Alex Trebek famously shaved off his mustache for the first time ever in this year.,What is 2001?,Alex Trebek,Alex Trebek,,trebek-stacheless.jpg,,
"In 2018, Alex Trebek moderated a gubernatorial debate in this state. (His performance as moderator was not well-received.)",What is Pennsylvania?,Alex Trebek,Alex Trebek,,trebekdebate.jpg,,
"In 2017, Trebek was given this Canadian honor for his achievement in television and for his promotion of learning.",What is the Order of Canada?,Alex Trebek,Alex Trebek,,ordercanada.jpg,,
"At one point, Alex Trebek also hosted this game show. (Any game show he ever hosted, except for  emph{Jeopardy!} and the aforementioned one he hosted on April Fool’s Day, will be accepted.)","What is any of these: \emph{The Wizard of Odds}; \emph{High Rollers}; \emph{Double Dare}; \emph{Strategy}; \emph{Reach for the Top}; \emph{The \$128,000 Question}; \emph{Battlestars}; \emph{Classic Concentration}; \emph{To Tell the Truth}?",Alex Trebek,Alex Trebek,,,,
