Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
The Mouth of Truth,"Rome, Italy",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,mouthoftruth.jpg,,
The Gateway Arch,"St. Louis, Missouri",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,stlarch.jpg,,
The Coit Tower,"San Francisco, California",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,Coittower1.jpg,,
The Bund,"Shanghai, China",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,bund.jpg,,
Promenade des Anglais,"Nice, France",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,anglais.jpg,,
Leonardo's painting of the Last Supper,"Milan, Italy",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,lastsupper.jpg,,
The terracotta warriors,"Xian, China",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,tcw.jpg,,
The Rose Bowl,"Pasadena, California",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,rosebowl.jpg,,
The cathedral that Monet painted again and again,"Rouen, France",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,monet.jpg,,
Rosa Parks' refusal to move to the back of the bus,"Montgomery, Alabama",One of the things this city is famous for is\ldots,One of the things this city is famous for is\ldots,,rosaparks.jpeg,,
Being the birthplace of Abraham Lincoln,"Hodgenville, Kentucky",Bonus,One of the things this city is famous for is\ldots,,hodgenville.jpg,,
Name the movie.,\emph{The Big Lebowski} (1998),Movies From Their Stills,Movies From Their Stills,walter.jpg,,,
Name the movie.,\emph{The Grapes of Wrath} (1940),Movies From Their Stills,Movies From Their Stills,grapesofwrath.jpg,,,
Name the movie.,\emph{The Seven Year Itch} (1955),Movies From Their Stills,Movies From Their Stills,seven-yearitch.jpg,,,
Name the movie.,\emph{Beverly Hills Cop} (1984),Movies From Their Stills,Movies From Their Stills,bhc.jpg,,,
Name the movie.,\emph{Taxi Driver} (1976),Movies From Their Stills,Movies From Their Stills,taxidriver.jpg,,,
Name the movie.,\emph{In Bruges} (2008),Movies From Their Stills,Movies From Their Stills,inbruges.jpg,,,
Name the movie.,\emph{Zoolander} (2001),Movies From Their Stills,Movies From Their Stills,zoolander.jpg,,,
Name the movie.,\emph{Die Hard} (1988),Movies From Their Stills,Movies From Their Stills,die-hard.jpg,,,
Name the movie.,\emph{Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb} (1964),Movies From Their Stills,Movies From Their Stills,strangelove.jpg,,,
Name the movie.,\emph{It’s a Wonderful Life} (1946),Movies From Their Stills,Movies From Their Stills,wonderfullife.jpeg,,,
"Only eighteen seconds long, this was one of the first films ever shown commercially to the public.",\emph{The Kiss} / \emph{The Widow Jones} (1896),Bonus,Movies From Their Stills,thekiss.jpg,,,
"Which sporting goods store, founded in New York City in 1889, can you no longer go to because they declared bankruptcy in March of this year?",Modell’s,Companies That Are No More,Companies That Are No More,,modells.png,,
"When Steve Jobs was booted from Apple, he founded his own computer and software company, which was later acquired by Apple. What was the name of this company?",NeXT,Companies That Are No More,Companies That Are No More,,next.png,,
What was the name of the “Big Five” accounting firm that helped cover up the financial issues plaguing the Enron Corporation and was subsequently dissolved?,Arthur Andersen,Companies That Are No More,Companies That Are No More,,arthuranderson.png,,
"Which large US airline that folded in 1991 was known for their “Clipper” flights, one of which was the first trans-Atlantic passenger flight?",Pan Am / Pan American Airlines,Companies That Are No More,Companies That Are No More,,panam.png,,
"On September 15, 2008, which investment bank filed for bankruptcy in what is still the largest Chapter 11 filing in history?",Lehman Brothers,Companies That Are No More,Companies That Are No More,,,,
Which defunct grocery store chain provided the lead singer of The Waitresses with the world’s smallest turkey in the song \emph{Christmas Wrapping}?,A&P,Companies That Are No More,Companies That Are No More,,ap.jpg,,
"“G”, it’s too bad “U” won’t “C” any locations of which former chain of toy stores that filed for Chapter 11 in 2017?",Toys “R” Us,Companies That Are No More,Companies That Are No More,,toysrus.jpg,,
“Where the Streets are Paved with Bargains” was the slogan of which chain of electronics stores that went out of business in 2008?,Circuit City,Companies That Are No More,Companies That Are No More,,circuitcity.jpg,,
"Which former restaurant chain -.-.- one of the first nationwide restaurant chains in the US -.-.- pivoted into the hotel/motel business, and now no longer operates any restaurants? (Their hotels and motels are doing fine; it’s the restaurants that are no more.)",Howard Johnson / HoJo,Companies That Are No More,Companies That Are No More,,hojos.jpg,,
"Which software company created the most popular web browsers of the ‘90s, but ultimately went out of business because it could not compete with Microsoft’s free Internet Explorer? (Its browser’s code lives in on Mozilla’s Firefox browser.)",Netscape,Companies That Are No More,Companies That Are No More,,netscape.png,,
"Believe it or not, there is still one Blockbuster store left in the US. In which state is it located?",Oregon,Bonus,Companies That Are No More,,blockbuster.jpg,,
Which winter sport was originally called “snurfing”?,Snowboarding (a portmanteau of “snow” and “surfing”),Winter Sports,Winter Sports,,snurf.jpg,,
"If a figure skater completes a triple axel, how many degrees will they have rotated?","\( 1260^\circ \) (a triple axel is three and a half turns, and \( 3.5\times 360^\circ=1260^\circ \))",Winter Sports,Winter Sports,,tripleaxel.jpg,,
Which two sports comprise the biathlon?,Cross-country skiing and rifle shooting (or just skiing and shooting; but you needed both),Winter Sports,Winter Sports,,biathlon.jpg,,
What is a piste (which rhymes with “east”)?,"A groomed snowy path down a mountain for skiing or other winter mountain sports (we’ll also accept “ski run”, “ski trail”, and “what they go down during the Winter Olympics”)",Winter Sports,Winter Sports,,piste.jpg,,
