Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,,
What 1977 song was the first song to stay #1 on the Billboard Hot 100 for 10 weeks?,You Light Up My Life (Debbie Boone),Number One Songs,Number One Songs,,debbieboone.jpg,,,
"To within two, how many Rolling Stones songs hit #1?",8 (6 to 10 will be accepted),Number One Songs,Number One Songs,,stones.jpg,,,
Which musician -.-.- with a total of 10 #1 hits on the Billboard Hot 100 -.-.- had his first #1 hit when he was just 13?,Stevie Wonder (“Fingertips”),Number One Songs,Number One Songs,,wonder.jpeg,,,
Which song about martial arts reached the #1 spot in 1974?,“(Everybody Was) Kung Fu Fighting”,Number One Songs,Number One Songs,,kungfu.jpg,,,
The band Los Del Rio is best known for which 1996 #1 song that kicked off a dance craze?,The Macarena / “Macarena (Bayside Boys Mix)”,Number One Songs,Number One Songs,,macarena.jpg,,,
Which Italian-language song hit the #1 spot in 1958?,"“Volare” / “Nel blu, dipinto di blu” (by Domenico Modugno)",Number One Songs,Number One Songs,,volare.jpeg,,,
Only one Aerosmith song reached #1 on the Billboard Hot 100.  Which song was it?,"""I Don't Want to Miss a Thing""",Number One Songs,Number One Songs,,aero.jpg,,,
Name the two Adele songs that hit #1 in 2011.,"“Rolling in the Deep” and ""Someone Like You""",Number One Songs,Number One Songs,,adele.jpeg,,,
Name three of the five singers/groups with the most #1 hits of all time.,"No.\ 5, Michael Jackson; No.\ 4, Rihanna; No.\ 3, Elvis; No.\ 2, Mariah Carey; No.\ 1, The Beatles",Number One Songs,Number One Songs,,,,,
Which Ricky Nelson song from 1958 -.-.- the year that the Billboard Hot 100 was introduced -.-.- was the very first Billboard Hot 100 #1 song?,“Poor Little Fool”,Number One Songs,Number One Songs,,nelson.jpg,,,
"What is the longest song to ever reach the Hot 100 #1 spot? (We’re referring to the length of the song itself, not the amount of time it spent in the #1 position.)","“American Pie”, by Don McLean (with a length of 8 minutes, 37 seconds)",Bonus,Number One Songs,,ampie.jpeg,,,
"Dean Martin might have been clever, but he wasn't clever enough to have said “I am so clever that sometimes I don't understand a single word of what I am saying.” Who did say it?",Oscar Wilde,Things Dean Martin Never Said,Things Dean Martin Never Said,,wilde.jpg,,,
"Dean Martin wasn’t a social change leader, so he never said “The future belongs to those who prepare for it today.” Who did?",Malcom X,Things Dean Martin Never Said,Things Dean Martin Never Said,,malcomx.jpg,,,
"Dean Martin was too fashionable a dresser to say “Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.” Who did say it?",Albert Einstein,Things Dean Martin Never Said,Things Dean Martin Never Said,,einstein.jpeg,,,
"Dean Martin summed up life by saying ""When the moon hits your eye like a big pizza pie, that's amore”, so he didn’t need to say, “I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.” Who did say it?",Henry David Thoreau,Things Dean Martin Never Said,Things Dean Martin Never Said,,thoureau.jpeg,,,
"Dean Martin wasn’t a dogged inventor, so he never said “Many of life's failures are people who did not realize how close they were to success when they gave up.” Who did?",Thomas Edison,Things Dean Martin Never Said,Things Dean Martin Never Said,,edison.jpg,,,
"Dean Martin wasn't much of a philosopher, so he never said “I think, therefore I am.” Who did?",Ren{\’e} Descartes,Things Dean Martin Never Said,Things Dean Martin Never Said,,descartes.jpg,,,
"Dean Martin was a man of scruples, so he never said, ""Those are my principles, and if you don't like them\ldots{} well, I have others.” Who did?",Groucho Marx,Things Dean Martin Never Said,Things Dean Martin Never Said,,marx.jpeg,,,
"Dean Martin spoke Italian and English but not Greek, so he could have coined the phrase “It was Greek to me”, but someone else did. Who?",William Shakespeare (in \emph{Julius Caesar}),Things Dean Martin Never Said,Things Dean Martin Never Said,,greek.jpg,,,
"Dean Martin wasn’t an author of fantasy literature, so he never wrote the line “Not all those who wander are lost”. Who did?",J.R.R. Tolkien (in the poem “The Riddle of Strider” in \emph{The Fellowship of the Ring}),Things Dean Martin Never Said,Things Dean Martin Never Said,,fellowship.jpeg,,,
"Dean Martin was handsome, so he never responded to being called “two-faced"" by saying, ""If I were two-faced, would I be wearing this one?” Who did?",Abraham Lincoln,Things Dean Martin Never Said,Things Dean Martin Never Said,,lincoln.jpg,,,
"Dean Martin was modest, so he didn’t call himself, ""the king of cool”. Who did comment on Dean Martin's cool factor with those words?",Elvis Presley,Bonus,Things Dean Martin Never Said,,elvis.jpg,,,
Which large diamond company that was founded in 1888 by Cecil Rhodes has maintained a near-monopoly on the worldwide diamond trade?,De Beers,Luxury Brands,Luxury Brands,,debeers.jpeg,,,
The light teal color shown here is the trademark color of which luxury jeweler?,Tiffany & Co.,Luxury Brands,Luxury Brands,tiffany.png,tiffanys.jpeg,,,
Which company that got its start manufacturing pens is named after the highest mountain in the alps?,Montblanc / Mont Blanc (although technically there is no space in its name),Luxury Brands,Luxury Brands,,montblanc.jpeg,,,
What city is the Prada company based in?,"Milan, Italy",Luxury Brands,Luxury Brands,,prada.JPG,,,
"Which luxury brand makes the “Kelly bag”, a leather handbag popularized by Grace Kelly?",Herm{\`e}s,Luxury Brands,Luxury Brands,,kelly.jpeg,,,
"Which famous luxury glass and crystal manufacturer, founded in 1764, has since 2012 also been a luxury hotel chain, with its hotels featuring the company’s chandeliers?",Baccarat,Luxury Brands,Luxury Brands,,baccarat.jpg,,,
Which luxury shoemaker’s shoes feature a signature red sole that has become a trademark of the brand?,Louboutin / Christian Louboutin,Luxury Brands,Luxury Brands,,louboutin.jpeg,,,
Which luxury car brand’s logo is shown here?,Maserati,Luxury Brands,Luxury Brands,maserati.jpg,,,,
What was the name of the Benedictine monk who pioneered several techniques in winemaking and after whom a brand of fine champagne is named?,Dom P{\’e}rignon,Luxury Brands,Luxury Brands,,perignon.jpeg,,,
"As of 2020, the ten most expensive watches ever sold at auction were all manufactured by one of just two luxury watch brands. Name either brand.",Patek Philippe (who made eight of the ten) and Rolex (who made two) (you only needed one),Luxury Brands,Luxury Brands,,philippe.jpg,,,
"By revenue, the largest luxury brand holding company is LVMH\@. What does LVMH stand for?","Louis Vuitton Mo{\""e}t Hennessy (formed by the merger of Louis Vuitton and Mo{\""e}t Hennessy, itself the result of the merger of Mo{\""e}t & Chandon and Hennessy)",Bonus,Luxury Brands,,lmvh.png,,,
"What is the name of the  long, split tunic dress pictured here that is worn over trousers by Vietnamese women?","{\’A}o d{\`a}i (without the tonal marks is fine).  Any phonetic equivalent of ""ow yie"" or ""ow zie"" is also acceptable.",Clothing Around the World,Clothing Around the World,aodai.jpg,,,,
What is the name of the hat worn in Morocco that shares its name with a Moroccan city?,Fez,Clothing Around the World,Clothing Around the World,,fez.jpg,,,
"What is the name of the traditional German pants shown here, whose name translates literally as “leather trousers”?",Lederhosen,Clothing Around the World,Clothing Around the World,lederhosen.jpg,,,,
What is the name of the furry Russian hat with ear flaps that can be tied under the chin (or pulled up and tied at the top of the hat when the wearer is in Moscow instead of Siberia)?,Ushanka (literally “ear flap hat”),Clothing Around the World,Clothing Around the World,ushanka.jpeg,,,,
