title;artist;album;isFound
"London Calling - Remastered";"The Clash";"London Calling (Remastered)";1
"Surf City - Remastered 1990/Stereo Remix";"Jan & Dean";"Surf City: The Best Of Jan & Dean";1
"Look Sharp!";"Joe Jackson";"Look Sharp!";1
"Can't Help Falling in Love";"Elvis Presley";"Blue Hawaii";1
"In Dreams";"Roy Orbison";"In Dreams";1
"(We're Gonna) Rock Around The Clock - Single Version";"Bill Haley & His Comets";"From The Original Master Tapes";1
"France: La Marseillaise";"Choeur de l'Armée Française, Musique De La Garde Républicaine";"Les hymnes officiels de la Coupe du Monde de Rugby (National Anthems Rugby World Cup France)";0
"Gone, Gone, Gone";"Carl Perkins";"The Dance Album";1
"Great Balls Of Fire";"Jerry Lee Lewis";"The Golden Rock Hits Of Jerry Lee Lewis";1
"Pet Sounds - Remastered";"The Beach Boys";"Pet Sounds (Original Mono & Stereo Mix Versions)";1
