title;artist;album;isFound
Stronger;"Kanye West";"Stronger (Int'l ECD Maxi)";1
"Old Town Road (feat. Billy Ray Cyrus) - Remix";"Lil Nas X, Billy Ray Cyrus";"Old Town Road";1
"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit";"Daft Punk, Pharrell Williams, Nile Rodgers";"Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]";1
"Ridin' Solo";"Jason Derulo";"Jason Derulo (Deluxe Audio)";1
"Hey Brother";Avicii;True;1
"Fast Car";"Jonas Blue, Dakota";"Fast Car";1
"Smells Like Teen Spirit";Nirvana;"Nevermind (Remastered)";1
"Before He Cheats";"Carrie Underwood";"Some Hearts";1
"Girls Just Want to Have Fun";"Cyndi Lauper";"She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)";1
Africa;TOTO;"Toto IV";1
"Walk Like an Egyptian";"The Bangles";"The Essential Bangles";1
"Every Breath You Take";"The Police";"Every Breath You Take : The Classics";1
"Born to Run";"Bruce Springsteen";"Born To Run";1
"Karma Chameleon";"Culture Club";"At Worst...The Best Of Boy George And Culture Club";1
Jolene;"Dolly Parton";Jolene;1
Crazy;"Gnarls Barkley";"St. Elsewhere";1
September;"Earth, Wind & Fire";"The Eternal Dance";1
"Have You Ever Seen The Rain";"Creedence Clearwater Revival";"Chronicle: 20 Greatest Hits";1
"Imagine - 2010 Mix";"John Lennon";Imagine;1
"American Pie";"Don McLean";"The Best Of Don McLean";1
"Lean on Me";"Bill Withers";"Still Bill";1
"Good Vibrations - Remastered";"The Beach Boys";"Good Vibrations 40th Anniversary";1
"Light My Fire";"The Doors";"The Doors";1
"What A Wonderful World";"Louis Armstrong";"Hello Louis - The Hit Years (1963-1969)";1
"Johnny B. Goode - Single Version";"Chuck Berry";"20th Century Masters: The Millennium Collection: Best Of Chuck Berry";1
"Tequila (Original)";"The Champs";Tequila;1
"Uptown Funk (feat. Bruno Mars)";"Mark Ronson, Bruno Mars";"Uptown Special";1
Royals;Lorde;"Pure Heroine";1
"Moondance - 2013 Remaster";"Van Morrison";"Moondance (Deluxe Edition)";1
"Is This Love";"Bob Marley & The Wailers";"Kaya - Deluxe Edition";1
"Paint It, Black - (Original Single Mono Version)";"The Rolling Stones";"Singles 1965-1967";1
"My Generation - Mono Version";"The Who";"The Who Sings My Generation (U.S. Version)";1
"Come Sail Away";Styx;"The Grand Illusion";1
"Walk This Way";Aerosmith;"Toys In The Attic";1
"Free Bird";"Lynyrd Skynyrd";"Pronounced' Leh-'Nerd 'Skin-'Nerd";1
Margaritaville;"Jimmy Buffett";"Songs You Know By Heart";1
Cocaine;"Eric Clapton";"Slowhand 35th Anniversary (Super Deluxe)";1
"Gold Digger";"Kanye West, Jamie Foxx";"Late Registration";1
"I Gotta Feeling";"Black Eyed Peas";"THE E.N.D. (THE ENERGY NEVER DIES)";1
"Escape (The Pina Colada Song)";"Rupert Holmes";"Partners In Crime";1
"I Will Survive - Single Version";"Gloria Gaynor";"20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor";1
"Ring of Fire";"Johnny Cash";"Johnny Cash - 16 Biggest Hits";1
"All About That Bass";"Meghan Trainor";"All About That Bass";1
"Bridge Over Troubled Water";"Simon & Garfunkel";"Bridge Over Troubled Water";1
Happy;"Pharrell Williams";"Despicable Me 2 (Original Motion Picture Soundtrack)";1
"With Or Without You - Remastered";U2;"The Joshua Tree";1
"Material Girl";Madonna;"Celebration (double disc version)";1
"Go Your Own Way - 2004 Remaster";"Fleetwood Mac";Rumours;0
"One Way Or Another - Remastered";Blondie;"One Way Or Another";1
"Holiday / Boulevard of Broken Dreams";"Green Day";"American Idiot";1
"Twist And Shout - Remastered 2009";"The Beatles";"Please Please Me (Remastered)";1
Shout;"The Isley Brothers";"Pure... '50s";0
"Build Me Up Buttercup";"The Foundations";"Build Me Up Buttercup (The Complete Pye Collection)";1
"Wake Me Up Before You Go-Go";Wham!;"Make It Big";1
"Pump It Up";"Elvis Costello & The Attractions";"This Year's Model";1
"Everyday I Write The Book";"Elvis Costello & The Attractions";"Punch The Clock";1
"What's Going On";"Marvin Gaye";"What's Going On";1
"Theme From Shaft - Album - Remastered";"Isaac Hayes";"Shaft (Deluxe Edition)";0
"Norwegian Wood (This Bird Has Flown) - Remastered 2009";"The Beatles";"Rubber Soul (Remastered)";1
"I Want To Hold Your Hand - Remastered 2015";"The Beatles";"1 (Remastered)";1
"Blackbird - Remastered";"The Beatles";"The Beatles (Remastered)";1
"God Only Knows - Remastered";"The Beach Boys";"Pet Sounds (Original Mono & Stereo Mix Versions)";1
"I Gotta Feeling";"Black Eyed Peas";"The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version)";1
"Is She Really Going Out With Him?";"Joe Jackson";"Look Sharp!";1
"Come On Eileen";"Dexys Midnight Runners";"Too Rye Ay";1
"The Logical Song - Remastered 2010";Supertramp;"Breakfast In America (Deluxe Edition)";1
"Ziggy Stardust - 2002 Digital Remaster";"David Bowie";"Best Of Bowie";1
"Rebel Rebel - 1999 Digital Remaster";"David Bowie";"Best Of Bowie";1
"King Kunta";"Kendrick Lamar";"To Pimp A Butterfly";1
Grenade;"Bruno Mars";"Doo-Wops & Hooligans";1
"Safe And Sound";"Capital Cities";"In A Tidal Wave Of Mystery (Deluxe Edition)";1
