title;artist;album;isFound
"Jules and Jim (Movie Main Theme)";"Film & TV Masters";"Ultimate Movie Theme Playlist";0
"The Good, the Bad and the Ugly (Movie Main Theme)";"Film & TV Masters";"Ultimate Movie Theme Playlist";0
"Superman (Movie Main Theme)";"Film & TV Masters";"Ultimate Movie Theme Playlist";0
"A Man and a Woman (Movie Main Theme)";"Film & TV Masters";"Ultimate Movie Theme Playlist";0
"The Godfather";"A Century Of Movie Soundtracks";"A Century Of Movie Soundtracks Vol. 2";1
"The Pink Panther";"A Century Of Movie Soundtracks";"A Century Of Movie Soundtracks Vol. 1";0
"End Title (from ""Lawrence Of Arabia"")";"London Philharmonic Orchestra";"Lawrence Of Arabia (Original Soundtrack Recording)";0
"La dolce vita";"Nino Rota, Studio Orchestra, StudioConductor";"Original Music for the Movies of Federico Fellini";1
Amarcord;"Nino Rota";Amarcord;1
Patton;"DLG Orchestra";"Greatest Movie Themes";0
