[youtube] 4c8O2n1Gfto: Downloading webpage
[download] Destination: /Users/robert/Downloads/Aerosmith - Walk This Way (Audio)-4c8O2n1Gfto.webm
[download]   0.0% of 3.41MiB at 168.98KiB/s ETA 00:20
[download]   0.1% of 3.41MiB at 493.33KiB/s ETA 00:07
[download]   0.2% of 3.41MiB at  1.07MiB/s ETA 00:03
[download]   0.4% of 3.41MiB at  2.23MiB/s ETA 00:01
[download]   0.9% of 3.41MiB at  1.19MiB/s ETA 00:02
[download]   1.8% of 3.41MiB at  1.40MiB/s ETA 00:02
[download]   3.6% of 3.41MiB at  2.07MiB/s ETA 00:01
[download]   7.3% of 3.41MiB at  2.88MiB/s ETA 00:01
[download]  14.6% of 3.41MiB at  4.00MiB/s ETA 00:00
[download]  29.3% of 3.41MiB at  6.20MiB/s ETA 00:00
[download]  58.7% of 3.41MiB at  9.40MiB/s ETA 00:00
[download] 100.0% of 3.41MiB at 12.33MiB/s ETA 00:00
[download] 100% of 3.41MiB in 00:00
