[youtube] Y_V6y1ZCg_8: Downloading webpage
[download] Destination: /Users/robert/Downloads/Norwegian Wood (This Bird Has Flown)-Y_V6y1ZCg_8.webm
[download]   0.0% of 2.24MiB at 225.68KiB/s ETA 00:10
[download]   0.1% of 2.24MiB at 654.88KiB/s ETA 00:03
[download]   0.3% of 2.24MiB at  1.45MiB/s ETA 00:01
[download]   0.7% of 2.24MiB at  3.04MiB/s ETA 00:00
[download]   1.4% of 2.24MiB at  1.14MiB/s ETA 00:01
[download]   2.7% of 2.24MiB at  1.22MiB/s ETA 00:01
[download]   5.5% of 2.24MiB at  1.75MiB/s ETA 00:01
[download]  11.1% of 2.24MiB at  2.38MiB/s ETA 00:00
[download]  22.3% of 2.24MiB at  3.29MiB/s ETA 00:00
[download]  44.6% of 2.24MiB at  4.78MiB/s ETA 00:00
[download]  89.2% of 2.24MiB at  7.47MiB/s ETA 00:00
[download] 100.0% of 2.24MiB at  7.65MiB/s ETA 00:00
[download] 100% of 2.24MiB in 00:00
