[youtube] cq8k-ZbsXDI: Downloading webpage
[download] Destination: /Users/robert/Downloads/The Doors - Light My Fire-cq8k-ZbsXDI.webm
[download]   0.0% of 6.68MiB at 307.25KiB/s ETA 00:22
[download]   0.0% of 6.68MiB at 884.44KiB/s ETA 00:07
[download]   0.1% of 6.68MiB at  1.92MiB/s ETA 00:03
[download]   0.2% of 6.68MiB at  3.89MiB/s ETA 00:01
[download]   0.5% of 6.68MiB at  1.12MiB/s ETA 00:05
[download]   0.9% of 6.68MiB at  1.65MiB/s ETA 00:04
[download]   1.9% of 6.68MiB at  1.97MiB/s ETA 00:03
[download]   3.7% of 6.68MiB at  2.95MiB/s ETA 00:02
[download]   7.5% of 6.68MiB at  4.25MiB/s ETA 00:01
[download]  14.9% of 6.68MiB at  6.51MiB/s ETA 00:00
[download]  29.9% of 6.68MiB at  9.84MiB/s ETA 00:00
[download]  59.8% of 6.68MiB at 14.19MiB/s ETA 00:00
[download] 100.0% of 6.68MiB at 17.33MiB/s ETA 00:00
[download] 100% of 6.68MiB in 00:00
