row_id,title,artist,album,section,audio_in,start,duration,question,answer,
d9f2e8,Stronger,Kanye West,Stronger (Int'l ECD Maxi),General,Kanye West - Stronger-PsO6ZnUZI0g.webm,,,Name the artist. ,Kayne West,Stronger
69b19c,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,General,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Remix]-7ysFgElQtjI.webm,,,Name the song.,Old Town Road,Old Town Road (feat. Billy Ray Cyrus) - Remix
7aaa7a,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],General,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers-5NV6Rdv1a3I.webm",,,Name the song.,Get Lucky,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
8171de,Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),General,Jason Derulo - Ridin' Solo  (Official Video in HD)-8ESdn0MuJWQ.webm,,,Name the artist.,Jason Derulo,Ridin' Solo
8105b9,Hey Brother,Avicii,TRUE,General,Avicii - Hey Brother-6Cp6mKbRTQY.webm,,,Name the Artist.,Avicii,Hey Brother
aee9ea,Fast Car,"Jonas Blue, Dakota",Fast Car,General,Jonas Blue ft. Dakota - Fast Car Official Music Video-0wpuR68uw-8.webm,,,Name the song.,Fast car.,Fast Car
22e5d1,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),General,Nirvana - Smells Like Teen Spirit (Official Music Video)-hTWKbfoikeg.webm,,,Name the song.,Smells Like Teen Spirit,Smells Like Teen Spirit
d20438,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),General,Cyndi Lauper - Girls Just Want To Have Fun (Official Video)-PIb6AZdTr-A.webm,,,Name the artist.,Cyndi Lauper,Girls Just Want to Have Fun
08778b,Africa,TOTO,Toto IV,General,Toto - Africa (Official Music Video)-FTQbiNvZqaY.webm,,,Name the band.,Toto,Africa
eb5573,Walk Like an Egyptian,The Bangles,The Essential Bangles,General,The Bangles - Walk Like an Egyptian (Video Version)-Cv6tuzHUuuk.webm,,,Name the band.,The Bangles,Walk Like an Egyptian
bbfbfe,Every Breath You Take,The Police,Every Breath You Take : The Classics,General,The Police - Every Breath You Take-OMOGaugKpzs.webm,,,Name the song.,Every Breath You Take,Every Breath You Take
3b6ed6,Karma Chameleon,Culture Club,At Worst...The Best Of Boy George And Culture Club,General,Culture Club - Karma Chameleon (Official Video)-JmcA9LIIXWw.webm,,,Name the lead singer (not the band).,Boy George,Karma Chameleon
