row_id,title,artist,album,section
1f08c7,Stronger,Kanye West,Stronger (Int'l ECD Maxi),General
cb85b6,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,General
8e4f8f,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],General
ba3061,Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),General
4e6c5d,Hey Brother,Avicii,True,General
39c328,Fast Car,"Jonas Blue, Dakota",Fast Car,General
c5db7b,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),General
4c8f00,Before He Cheats,Carrie Underwood,Some Hearts,General
cb448f,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),General
c3cf16,Africa,TOTO,Toto IV,General
b1524c,Walk Like an Egyptian,The Bangles,The Essential Bangles,General
3d276d,Every Breath You Take,The Police,Every Breath You Take : The Classics,General
fb68b2,Born to Run,Bruce Springsteen,Born To Run,General
763bd1,Karma Chameleon,Culture Club,At Worst...The Best Of Boy George And Culture Club,General
0efbaf,Jolene,Dolly Parton,Jolene,General
ee7ba8,Crazy,Gnarls Barkley,St. Elsewhere,General
563096,September,"Earth, Wind & Fire",The Eternal Dance,General
a41a96,Have You Ever Seen The Rain,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,General
b393ed,Imagine - 2010 Mix,John Lennon,Imagine,General
a64d3f,American Pie,Don McLean,The Best Of Don McLean,General
1df2a9,Lean on Me,Bill Withers,Still Bill,General
969b3c,Good Vibrations - Remastered,The Beach Boys,Good Vibrations 40th Anniversary,General
2dc0d2,Light My Fire,The Doors,The Doors,General
73abfc,What A Wonderful World,Louis Armstrong,Hello Louis - The Hit Years (1963-1969),General
29b2f1,Johnny B. Goode - Single Version,Chuck Berry,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,General
e6d52c,Tequila (Original),The Champs,Tequila,General
3a765e,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,General
d44341,Royals,Lorde,Pure Heroine,General
831e9a,Moondance - 2013 Remaster,Van Morrison,Moondance (Deluxe Edition),General
0e3876,Is This Love,Bob Marley & The Wailers,Kaya - Deluxe Edition,General
027e3d,"Paint It, Black - (Original Single Mono Version)",The Rolling Stones,Singles 1965-1967,General
fb7ab5,My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),General
c07ab6,Come Sail Away,Styx,The Grand Illusion,General
5a4e88,Walk This Way,Aerosmith,Toys In The Attic,General
3ba62e,Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,General
ed3025,Margaritaville,Jimmy Buffett,Songs You Know By Heart,General
4c4372,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),General
715385,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,General
f4a475,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),General
35e0d5,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,General
996bfd,I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,General
ad6c6b,Ring of Fire,Johnny Cash,Johnny Cash - 16 Biggest Hits,General
0c2506,All About That Bass,Meghan Trainor,All About That Bass,General
b3cbff,Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,General
4a627a,Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),General
fa8e2e,With Or Without You - Remastered,U2,The Joshua Tree,General
59c4e0,Material Girl,Madonna,Celebration (double disc version),General
ab61bc,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,General
6954f9,One Way Or Another - Remastered,Blondie,One Way Or Another,General
7612fb,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,General
334e1b,Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),General
6b30fa,Shout,The Isley Brothers,Pure... '50s,General
772408,Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),General
8dc33d,Wake Me Up Before You Go-Go,Wham!,Make It Big,General
5e9eda,Pump It Up,Elvis Costello & The Attractions,This Year's Model,General
ba23b2,Everyday I Write The Book,Elvis Costello & The Attractions,Punch The Clock,General
88e387,What's Going On,Marvin Gaye,What's Going On,General
6f6341,Theme From Shaft - Album - Remastered,Isaac Hayes,Shaft (Deluxe Edition),General
