Question,Answer,Section,Topic,Question Image,Answer Image,,
What do you call it when a player makes three back to back strikes in bowling?,A turkey,Sports,Sports,,,,
What professional boxer had the most knockouts over his career?,Archie Moore,Sports,Sports,,archiemoore.jpg,,
What is the only country to have played in every single soccer World Cup?,Brazil,Sports,Sports,,,,
Wilt Chamberlain holds the record for most points scored by one player in an NBA game. How many points did he score in that game?,100,Sports,Sports,,wilt.jpg,,
Who was the first person to break the four-minute mile?,Roger Bannister,Sports,Sports,,Roger-Bannister.jpg,,
How many championships did the Chicago Bulls win with Michael Jordan on their team?,Six,Sports,Sports,,michaeljordan.jpg,,
The terms “stale fish” and “mulekick” are commonly used in what sport?,Snowboarding,Sports,Sports,,stalefish.jpg,,
"In the 1900 Olympics, women were allowed to compete for the first time, but in only two sports. Name one of the sports.",Tennis and golf,Sports,Sports,,womentennis.jpg,,
Which sporting event is held every year on Memorial Day?,The Indianapolis 500,Sports,Sports,,indy500.jpg,,
"All NFL teams have their logo on their helmets, but only one team has the logo on only one side of their helmets. Which team is that?",The Steelers (it’s on the right side),Sports,Sports,,steelers.jpeg,,
Who wrote \emph{The Importance of being Earnest?},Oscar Wilde,Plays and playwrights,Plays and playwrights,,oscarwilde.jpg,,
What Thornton Wilder play became the musical \emph{Hello Dolly}? (The play has two names -.- we will take either one.), \emph{The Merchant of Yonkers} or \emph{The Matchmaker}.,Plays and playwrights,Plays and playwrights,,matchmaker.jpg,,
“We are such stuff as dreams are made on.” What Shakespeare play is this line from?,\emph{The Tempest},Plays and playwrights,Plays and playwrights,,tempest.jpg,,
"“We are such things as rubbish is made of, so let’s drink up and forget it.” What famous American play is this line from?",\emph{Long Day’s Journey into Night},Plays and playwrights,Plays and playwrights,,,,
Name the ancient Greek playwright who wrote \emph{The Frogs}.,Aristophanes,Plays and playwrights,Plays and playwrights,,,,
Which Off-Broadway play that opened in 1960 ran for so long that \emph{The New Yorker} started to run a serialization of Joyce’s \emph{Ulysses} in its “Goings On About Town” column instead of the usual synopsis of the play?,The Fantasticks,Plays and playwrights,Plays and playwrights,,fantasticks.jpg,,
Who wrote the play upon which the musical \emph{My Fair Lady} was based?,George Bernard Shaw (\emph{Pygmalion}),Plays and playwrights,Plays and playwrights,,pygmalion.jpg,,
To which famous movie star was Arthur Miller married? ,Marilyn Monroe,Plays and playwrights,Plays and playwrights,,Arthur-Miller-Marilyn-Monroe.jpg,,
"Which French comedic playwright wrote \emph{Tartuffe}, \emph{The School for Wives}, \emph{The Miser}, and \emph{The Hypochondriac}?",Molière,Plays and playwrights,Plays and playwrights,,,,
Who wrote \emph{Angels in America}?,Tony Kushner,Plays and playwrights,Plays and playwrights,,angelsinamerica.jpg,,
What was Amelia Earhart's ultimate goal in making the trip during which she crashed?,Circumnavigating the globe,Famous American Women,Famous American Women,,earheart.png,,
"Who wrote the poem, “Because I could not stop for Death”?",Emily Dickson,Famous American Women,Famous American Women,,xkcddickinson.png,,
Who was the famous translator on the Lewis and Clark expedition?,Sacagawea,Famous American Women,Famous American Women,,sacagawea.jpg,,
"Which computer scientist, who was also a US Navy rear admiral, developed one of the first compilers (a program that translates human-readable instructions into computer code)?",Grace Hopper,Famous American Women,Famous American Women,,hopper.jpg,,
Anne Sullivan is best known from her association with what other famous American woman?,Hellen Keller (she was Keller’s teacher),Famous American Women,Famous American Women,,helen-and-anne.jpg,,
This woman was the first woman elected to Congress and was one of the few congresspeople to vote against both the World War I and World War II declarations of war.,Jeanette Rankin,Famous American Women,Famous American Women,,rankin.jpg,,
Who wrote \emph{Little Women}?,Louisa May Alcott,Famous American Women,Famous American Women,,little.jpg,,
"Who designed the Vietnam War Memorial on the Mall in Washington, D.C.?",Maya Lin,Famous American Women,Famous American Women,,mayalin.jpg,,
Which woman wrote a book about the absence of birdsong that brought attention to the environmental movement?,Rachel Carson,Famous American Women,Famous American Women,,silentspring.jpeg,,
Clara Barton founded and served as the first president of what organization?,The Red Cross,Famous American Women,Famous American Women,,barton.jpg,,
At what temperature are Fahrenheit and Celsius represented by the same number?,-40,Science,Science,,degrees.png,,
Which two elements on the periodic table are liquid at room temperature and standard pressure?,Bromine (Br) and mercury (Hg),Science,Science,,bromine.jpg,,
Which biologist is considered the father of the rules of heredity/inheritance?,Gregor Mendel,Science,Science,,punnett.png,,
What physicist came up with the three laws of motion?,Isaac Newton,Science,Science,,newton.jpg,,
Who is the only person to have won the Nobel prize in two different scientific fields?,Marie Curie (Physics and Chemistry),Science,Science,,curie.jpg,,
What is the chemical formula for table salt?,NaCl,Science,Science,,nacl.jpg,,
What is the most abundant gas in Earth’s atmosphere?,Nitrogen (77\%),Science,Science,,atmosphere.jpg,,
Name either of the two-word phrases that describe a color change caused by an object’s movement away from you.,Red shift or Doppler effect,Science,Science,,redshift.png,,
Which is the heaviest internal organ in the human body?,The liver (approximately 3.5 lbs on average),Science,Science,,liver-location.jpg,,
