Go Your Own Way		3:44	Fleetwood Mac	Rumours	Rock	0
Moondance		4:34	Van Morrison	Moondance (Expanded Edition)	Rock	0
Stronger		5:12	Kanye West	Graduation	Hip Hop/Rap	0	4
Old Town Road (feat. Billy Ray Cyrus) [Remix]		2:37	Lil Nas X	7 - EP	Country	0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]		4:08	Daft Punk	2010s Hits	Dance	0
Ridin' Solo		3:36	Jason Derulo	Jason Derulo (Deluxe Version)	Pop	0
Hey Brother		4:14	Avicii	True	House	0
Fast Car (feat. Dakota) [Radio Edit]		3:31	Jonas Blue	Remixed and Redone	Dance	0
Before He Cheats		3:20	Carrie Underwood	Some Hearts	Pop	0
Call Me Maybe		3:13	Carly Rae Jepsen	Kiss	Pop	0
Girls Just Want to Have Fun		3:58	Cyndi Lauper	She's So Unusual	Pop	0
Africa		4:55	Toto	Toto IV	Rock	0
Walk Like an Egyptian		3:25	The Bangles	The Essential Bangles	Pop	0
Every Breath You Take		4:11	The Police	The Very Best of Sting & The Police	Rock	0
Born to Run		4:30	Bruce Springsteen	Born To Run	Rock	0
Karma Chameleon		4:00	Culture Club	New Wave Hits of the 80s	Pop	0
Jolene (Single Version)		2:40	Dolly Parton	Ultimate Dolly Parton	Country	0
Crazy		2:58	Gnarls Barkley	St. Elsewhere	Alternative	3	5
September		3:35	Earth, Wind & Fire	Flash Back Internacional	R&B/Soul	0
Have You Ever Seen the Rain? (Mono Single)		2:41	Creedence Clearwater Revival	The Singles Collection	Rock	0
Imagine		3:07	John Lennon	Imagine	Pop	0
American Pie		8:36	Don Mclean	The Best of Don McLean	Pop	0
Good Vibrations		3:38	The Beach Boys	Good Vibrations (40th Anniversary) - EP	Pop	0
Light My Fire (Remastered)		7:10	The Doors	The Doors (50th Anniversary Deluxe Edition)	Rock	0
What a Wonderful World		2:19	Louis Armstrong	Chill Out With Jazz	Jazz	0
Johnny B. Goode (Single Version)		2:41	Chuck Berry	Chess Pieces: The Very Best of Chess Records	Blues	0
Jailhouse Rock		2:29	Elvis Presley	Elvis' Golden Records	Rock	0
Tequila		2:16	The Champs	Greatest Hits / Tequila	Rock	0
Uptown Funk (feat. Bruno Mars)		4:30	Mark Ronson	Uptown Special	Pop	0
Royals		3:10	Lorde	Pure Heroine	Alternative	0
Is This Love		3:51	Bob Marley & The Wailers	Legend (Deluxe Edition)	Reggae	0
Paint It Black		3:44	The Rolling Stones	Singles 1965-1967	Rock	0
My Generation (Mono Version)		3:19	The Who	The Who Sings My Generation	Rock	0
Come Sail Away		6:07	Styx	The Grand Illusion	Rock	0
Walk This Way		3:42	Aerosmith	Toys In the Attic	Hard Rock	0
Free Bird		9:13	Lynyrd Skynyrd	Pronounced Leh-Nerd Skin-Nerd	Rock	0
Margaritaville		4:09	Jimmy Buffett	Songs You Know By Heart	Pop	0
Cocaine		3:38	Eric Clapton	20th Century Masters - The Millennium Collection: The Best of Eric Clapton	Rock	0
Gold Digger (feat. Jamie Foxx)		3:28	Kanye West	Late Registration	Hip Hop/Rap	0	3
I Gotta Feeling		4:49	Black Eyed Peas	The E.N.D. (The Energy Never Dies)	Pop	0
Escape (The Pina Colada Song)		4:36	Rupert Holmes	Partners In Crime	Pop	0
I Will Survive		3:17	Gloria Gaynor	Road Trip Sing-Along Songs	Disco	0
Ring of Fire		2:36	Johnny Cash	The Essential Johnny Cash	Country	0
All About That Bass		3:08	Meghan Trainor	30 Todo Dia, Vol. 2	Pop	0
Bridge Over Troubled Water (Live)		4:45	Simon & Garfunkel	The Concert In Central Park (Live)	Singer/Songwriter	0
Happy (From "Despicable Me 2")		3:53	Pharrell Williams	Feel Good Friday	R&B/Soul	0
With Or Without You		4:56	U2	The Joshua Tree	Rock	0
Material Girl (Edit Version)		3:53	Madonna	The Immaculate Collection	Pop	0
One Way Or Another (2001 Remaster)		3:33	Blondie	Greatest Hits	Rock	0
Boulevard of Broken Dreams		4:21	Green Day	American Idiot	Alternative	0
Twist and Shout		2:33	The Beatles	Please Please Me	Rock	0
Build Me Up Buttercup		2:58	The Foundations	Build Me Up Buttercup (The Complete Pye Collection)	Pop	0
Wake Me Up Before You Go Go		3:51	Wham!	The Final	Pop	0
Pump It Up		3:18	Elvis Costello & The Attractions	This Year's Model	Pop	0
Every Day I Write the Book		3:54	Elvis Costello & The Attractions	Punch the Clock	Rock	0
What's Going On		3:52	Marvin Gaye	Motown Classics	R&B/Soul	0
Norwegian Wood (This Bird Has Flown)		2:05	The Beatles	Rubber Soul	Rock	0	4
Suspicious Minds		4:23	Elvis Presley	From Elvis In Memphis	Rock	0
I Want to Hold Your Hand (2015 Stereo Mix)		2:26	The Beatles	1 (2015 Version)	Rock	0
Blackbird		2:18	The Beatles	The Beatles (White Album)	Rock	0
God Only Knows (Mono)		2:51	The Beach Boys	Pet Sounds (Mono & Stereo)	Pop	0
I Gotta Feeling		4:49	Black Eyed Peas	The E.N.D. (The Energy Never Dies) [Deluxe]	Pop	0
Is She Really Going Out With Him?		3:39	Joe Jackson	The Collection	Pop	0
