row_id,title,artist,album,section
e1067f,Stronger,Kanye West,Stronger (Int'l ECD Maxi),General
145d93,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,General
2a9640,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],General
05d769,Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),General
5623dc,Hey Brother,Avicii,True,General
7bf2db,Fast Car,"Jonas Blue, Dakota",Fast Car,General
ea9a69,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),General
12c270,Before He Cheats,Carrie Underwood,Some Hearts,General
40c275,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),General
67cc82,Africa,TOTO,Toto IV,General
55cc1d,Walk Like an Egyptian,The Bangles,The Essential Bangles,General
ae47fb,Every Breath You Take,The Police,Every Breath You Take : The Classics,General
a2cf3b,Born to Run,Bruce Springsteen,Born To Run,General
a9932c,Karma Chameleon,Culture Club,At Worst...The Best Of Boy George And Culture Club,General
f9b2f2,Jolene,Dolly Parton,Jolene,General
1670b3,Crazy,Gnarls Barkley,St. Elsewhere,General
d7fc10,September,"Earth, Wind & Fire",The Eternal Dance,General
2ce856,Have You Ever Seen The Rain,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,General
7d051c,Imagine - 2010 Mix,John Lennon,Imagine,General
029293,American Pie,Don McLean,The Best Of Don McLean,General
192192,Lean on Me,Bill Withers,Still Bill,General
71d967,Good Vibrations - Remastered,The Beach Boys,Good Vibrations 40th Anniversary,General
c66330,Light My Fire,The Doors,The Doors,General
c52d90,What A Wonderful World,Louis Armstrong,Hello Louis - The Hit Years (1963-1969),General
12f8e1,Johnny B. Goode - Single Version,Chuck Berry,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,General
bacfdb,Tequila (Original),The Champs,Tequila,General
e4f04e,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,General
eb487d,Royals,Lorde,Pure Heroine,General
f0a3f0,Moondance - 2013 Remaster,Van Morrison,Moondance (Deluxe Edition),General
4d9162,Is This Love,Bob Marley & The Wailers,Kaya - Deluxe Edition,General
c953b3,"Paint It, Black - (Original Single Mono Version)",The Rolling Stones,Singles 1965-1967,General
0fa699,My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),General
408702,Come Sail Away,Styx,The Grand Illusion,General
8fe19c,Walk This Way,Aerosmith,Toys In The Attic,General
520e1d,Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,General
131a39,Margaritaville,Jimmy Buffett,Songs You Know By Heart,General
d2ac5c,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),General
73396e,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,General
edfb5b,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),General
e620cc,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,General
886111,I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,General
b579cf,Ring of Fire,Johnny Cash,Johnny Cash - 16 Biggest Hits,General
59f4cc,All About That Bass,Meghan Trainor,All About That Bass,General
7c3f85,Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,General
90761a,Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),General
65c7f1,With Or Without You - Remastered,U2,The Joshua Tree,General
701d59,Material Girl,Madonna,Celebration (double disc version),General
db3d54,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,General
a27f4a,One Way Or Another - Remastered,Blondie,One Way Or Another,General
24f1d7,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,General
91a104,Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),General
5b640a,Shout,The Isley Brothers,Pure... '50s,General
93f265,Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),General
ab1d1f,Wake Me Up Before You Go-Go,Wham!,Make It Big,General
a29326,Pump It Up,Elvis Costello & The Attractions,This Year's Model,General
bf85e7,Everyday I Write The Book,Elvis Costello & The Attractions,Punch The Clock,General
3d8847,What's Going On,Marvin Gaye,What's Going On,General
ff2940,Theme From Shaft - Album - Remastered,Isaac Hayes,Shaft (Deluxe Edition),General
715519,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,Rubber Soul (Remastered),General
57b9ef,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),General
0f2c0f,Blackbird - Remastered,The Beatles,The Beatles (Remastered),General
f4d38a,God Only Knows - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),General
7e0446,I Gotta Feeling,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),General
53bcf2,Is She Really Going Out With Him?,Joe Jackson,Look Sharp!,General
16e707,Come On Eileen,Dexys Midnight Runners,Too Rye Ay,General
c0a141,The Logical Song - Remastered 2010,Supertramp,Breakfast In America (Deluxe Edition),General
a4e98d,Ziggy Stardust - 2002 Digital Remaster,David Bowie,Best Of Bowie,General
5e7010,Rebel Rebel - 1999 Digital Remaster,David Bowie,Best Of Bowie,General
2dfb42,King Kunta,Kendrick Lamar,To Pimp A Butterfly,General
ac4718,Grenade,Bruno Mars,Doo-Wops & Hooligans,General
d27b70,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),General
ec878f,The Safety Dance,Men Without Hats,Greatest,One Hit Wonders
99b986,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,One Hit Wonders
9aaba1,Don't Worry Be Happy,Bobby McFerrin,20 #1's: One Hit Wonders,One Hit Wonders
0d1bd8,Somebody's Watching Me - Single Version,Rockwell,20 #1's: One Hit Wonders,One Hit Wonders
c9444c,Hey! Baby,Bruce Channel,20 #1's: One Hit Wonders,One Hit Wonders
1c7a07,Oh Sheila,Ready For The World,20 #1's: One Hit Wonders,One Hit Wonders
1208d2,Harden My Heart,Quarterflash,20 #1's: One Hit Wonders,One Hit Wonders
aef62a,My Sharona,The Knack,20 #1's: One Hit Wonders,One Hit Wonders
e4f839,Disco Duck,The Rubix Cube's,1970's One Hit Wonders,One Hit Wonders
cf5c5e,Bette Davis Eyes (Re-Recorded / Remastered),Kim Carnes,80s 1 Hit Wonders (Re-Recorded / Remastered Versions),One Hit Wonders
9e76a1,London Calling - Remastered,The Clash,London Calling (Remastered),Bonus
710813,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,Surf City: The Best Of Jan & Dean,Bonus
4e171d,Look Sharp!,Joe Jackson,Look Sharp!,Bonus
b3c90a,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,Bonus
0ba0d2,In Dreams,Roy Orbison,In Dreams,Bonus
c24aa0,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,From The Original Master Tapes,Bonus
e55e2d,France: La Marseillaise,"Choeur de l'Armée Française, Musique De La Garde Républicaine",Les hymnes officiels de la Coupe du Monde de Rugby (National Anthems Rugby World Cup France),Bonus
0befca,"Gone, Gone, Gone",Carl Perkins,The Dance Album,Bonus
610850,Great Balls Of Fire,Jerry Lee Lewis,The Golden Rock Hits Of Jerry Lee Lewis,Bonus
a575c4,Pet Sounds - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),Bonus
10f324,Jules and Jim (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie
7de8cc,"The Good, the Bad and the Ugly (Movie Main Theme)",Film & TV Masters,Ultimate Movie Theme Playlist,Movie
90da7b,Superman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie
388b55,A Man and a Woman (Movie Main Theme),Film & TV Masters,Ultimate Movie Theme Playlist,Movie
26be62,The Godfather,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 2,Movie
63a809,The Pink Panther,A Century Of Movie Soundtracks,A Century Of Movie Soundtracks Vol. 1,Movie
09cc0c,"End Title (from ""Lawrence Of Arabia"")",London Philharmonic Orchestra,Lawrence Of Arabia (Original Soundtrack Recording),Movie
2834fc,La dolce vita,"Nino Rota, Studio Orchestra, StudioConductor",Original Music for the Movies of Federico Fellini,Movie
6cd205,Amarcord,Nino Rota,Amarcord,Movie
0c519f,Patton,DLG Orchestra,Greatest Movie Themes,Movie
39bc56,Being Alive,2006 Broadway Revival Cast,Company (2006 Broadway Revival Cast),Broadway
a450da,Whatever Lola Wants,Gwen Verdon,Damn Yankees (Original Soundtrack) [Remastered],Broadway
950a3e,They Say It's Wonderful,Annie Get Your Gun - The 1999 Broadway Cast,Annie Get Your Gun - The New Broadway Cast Recording (Staring Bernadette Peters),Broadway
c29fe4,Alexander Hamilton,"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),Broadway
2552ca,One (Reprise) / Finale,A Chorus Line Ensemble,A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording),Broadway
e0924e,Don't Rain On My Parade,Barbra Streisand,The Essential Barbra Streisand,Broadway
b1fd91,Corner of the Sky,Matthew James Thomas,Pippin (New Broadway Cast Recording),Broadway
d12912,Something's Coming,Matt Cavenaugh,West Side Story (New Broadway Cast Recording - 2009),Broadway
ecb566,Overture,"2003 Broadway Cast of ""Gypsy""",Gypsy (2003 Broadway Cast),Broadway
0dd4d8,42nd Street,"Wanda Richert, Lee Roy Reams & 42nd Street Ensemble",42nd Street - Original Broadway Cast Recording,Broadway
b6e129,Tenth Avenue Freeze-Out,Bruce Springsteen,Born To Run,New York
d07e38,"Theme from New York, New York",Frank Sinatra,Ultimate Sinatra: The Centennial Collection,New York
77f2c5,On Broadway,George Benson,The George Benson Collection,New York
f5624c,Christmas In Hollis (Bonus Track),Run-DMC,Tougher Than Leather,New York
08353c,Native New Yorker,Odyssey,Odyssey (Expanded Edition),New York
15902d,Empire State of Mind (feat. Alicia Keys),JAY-Z & Alicia Keys,"The Hits Collection, Vol. One (Deluxe Edition)",New York
9f019f,Fairytale of New York,The Pogues,If I Should Fall from Grace With God [Expanded],New York
4ef4df,Spanish Harlem,Ben E. King,Spanish Harlem,New York
4b3d7c,The Boy from New York City,The Ad Libs,Discover 60s One Hit Wonders,New York
dc0736,Lullaby of Broadway (with The Dave Brubeck Trio) [Live],Tony Bennett,"The White House Sessions, Live 1962",New York
