Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
What kind of flower is pictured here?,A bird of paradise,Flowers,Flowers,bop.jpg,,,
“Tulip mania” was the name given to which country’s craze -.-.- that ended in a spectacular crash in 1637 -.-.- for tulip bulbs?,Holland / the Netherlands,Flowers,Flowers,,tulip.jpg,,
"Flowers are the reproductive body of flowering plants. Once  fertilized, what do flowering plants begin to produce?",Fruit,Flowers,Flowers,,cherryblossom.jpg,,
"After the Chernobyl disaster, what kind of flower was planted in large numbers in the surrounding area to soak up radioactive metals and hence became an international symbol of denuclearization?",Sunflowers,Flowers,Flowers,,sunflower.jpg,,
"In order to attract flies to pollinate it, the titan arum flower -.-.- pictured here -.-.- emits a smell similar to rotting flesh. What more colloquial name is this flower also known by?",The corpse flower,Flowers,Flowers,corpse.jpg,,,
What kind of flower is saffron produced from?,Crocus / autumn crocus / saffron crocus,Flowers,Flowers,,crocus.jpg,,
"What is the name of the flower parts indicated here, which are located on the ends of filaments and contain the flower’s pollen?",Anthers,Flowers,Flowers,anther.jpg,,,
What kind of flower is an important symbol in Hinduism and Buddhism and is the national flower of India and Nepal?,The lotus,Flowers,Flowers,,lotus.jpg,,
"In computer networking, what is the flower-related name given to a network of devices connected to form a ring or chain?",A daisy chain,Flowers,Flowers,computertopo.png,daisychain.jpg,,
"What is the national flower (or, more precisely, the national floral emblem) of the U.S.?",The rose,Flowers,Flowers,,rose.jpg,,
In which state was Lincoln born?,Kentucky,Abraham Lincoln,Abraham Lincoln,,kentucky.jpg,,
How many children did Lincoln have?,Four (all sons),Abraham Lincoln,Abraham Lincoln,,lincolnson.jpg,,
"Which Lincoln speech ended with, ""With malice toward none, with charity for all, with firmness in the right as God gives us to see the right, let us strive on to finish the work we are in, to bind up the nation's wounds, to care for him who shall have borne the battle and for his widow and his orphan, to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations.""",Second Inaugural Address,Abraham Lincoln,Abraham Lincoln,,,,
Which book by John Bunyon was one of Lincoln's favorites?,\emph{The Pilgrim’s Progress},Abraham Lincoln,Abraham Lincoln,,pilgrim.jpg,,
What elected offices did Lincoln hold before he became president? (We need all of them.),Member of the Illinois House of Representatives and Congressman,Abraham Lincoln,Abraham Lincoln,,lincoln.jpg,,
What was the name of the 11 year-old girl whose letter to Lincoln encouraging him to grow a beard was acted on by Lincoln?,Grace Bedell,Abraham Lincoln,Abraham Lincoln,,bedell.jpg,,
"What was the maiden name of Lincoln’s wife, Mary?",Todd,Abraham Lincoln,Abraham Lincoln,,marytodd.jpg,,
Who was Lincoln’s Vice President in his first term? ,Hannibal Hamlin,Abraham Lincoln,Abraham Lincoln,,hannibalhamlin.jpg,,
"On what date (month, day and year) was Lincoln assassinated, and on what date did he die? (We need both dates.)","Lincoln was assassinated on April 14, 1865, and he died on April 15, 1865.",Abraham Lincoln,Abraham Lincoln,,lincolnassassinated.jpg,,
"Lincoln's Secretary of War, Edwin Stanton, was present at Lincoln's deathbed when Lincoln died.  What are the  famous words that Secretary Stanton was reported to have said in the moment after the doctor declared Lincoln dead?","""Now he belongs to the ages.""",Abraham Lincoln,Abraham Lincoln,,stanton.jpg,,
"At what 1963 event did Martin Luther King deliver his famous ""I Have a Dream"" speech?",The March on Washington/The March on Washington for Jobs and Freedom,Civil Rights Movements,Civil Rights Movements,,,,
What year did the Stonewall Riots take place?,1969,Civil Rights Movements,Civil Rights Movements,,stonewall.jpg,,
Which amendment to the U.S. Constitution gave women the right to vote?,The 19th Amendment,Civil Rights Movements,Civil Rights Movements,,amendment19.jpg,,
Which amendment to the U.S. Constitution gave African-Americans the right to vote?,The 15th Amendment,Civil Rights Movements,Civil Rights Movements,,amendment15.jpg,,
What is name of the process that took place in South Africa after the end of apartheid in which those who fostered apartheid faced those they had harmed and admitted what they had done?,Truth and Reconcilation,Civil Rights Movements,Civil Rights Movements,,reconciliation.jpg,,
"What civil rights group was known by its initials, SNCC?",The Student Non-Violent Coordinating Committee,Civil Rights Movements,Civil Rights Movements,,sncc.jpg,,
"What is the commodity that Gandhi, as an act of civil disobedience, produced in violation of a monopoly granted by the British government?",Salt,Civil Rights Movements,Civil Rights Movements,,saltmarch.jpg,,
What is the name of the essay in which Martin Luther King argued to fellow clergy that they were wrong in saying that the time was not yet right for action on civil rights?,Letter from a Birmingham Jail,Civil Rights Movements,Civil Rights Movements,,mlk.jpg,,
"What is the name of the woman who was known as the ""The First Lady of The Struggle"" and who was the only African-American woman to be part of the U.S. delegation that created the United Nations charter?",Mary McLeod Bethune,Civil Rights Movements,Civil Rights Movements,,bethune.jpg,,
What is the name of the woman born in Mississippi in 1862 who became best known for her work as a crusading journalist  who exposed the prevalence and horror  of lynching?,Ida B. Wells,Civil Rights Movements,Civil Rights Movements,,wells.jpg,,
Which dairy scientist was also a major contributor to the germ theory of diseases and helped create the vaccines for anthrax and rabies?,Louis Pasteur,How Now Brown Cow?,How Now Brown Cow?,,pasteur.jpg,,
In which U.S. state capital is the annual five-day World Dairy Expo held?,"Madison, WI",How Now Brown Cow?,How Now Brown Cow?,,wde.jpg,,
\emph{Airag} and \emph{kurmis} are Mongolian fermented drinks made from the milk of what animal?,Horses / mares,How Now Brown Cow?,How Now Brown Cow?,,mongolianhorse.jpg,,
What kind of British cheese is purported to cause “odd and vivid” dreams when eaten shortly before going to sleep?,Stilton,How Now Brown Cow?,How Now Brown Cow?,,stilton.jpg,,
What is the most popular ice cream flavor in the U.S.?,Vanilla,How Now Brown Cow?,How Now Brown Cow?,,vanilla.jpg,,
Name either of the two kinds of bacteria primarily responsible for producing yogurt.,\emph{Lactobacillus} and \emph{Streptococcus} (we only needed one),How Now Brown Cow?,How Now Brown Cow?,,lacto.jpg,,
What are the two primary dairy products required to make New York style cheesecake?,Cream cheese and sour cream,How Now Brown Cow?,How Now Brown Cow?,,cheesecake.jpg,,
"According to the Purebred Dairy Cattle Association, there are seven major dairy cow breeds in the U.S\@. Name any one of them.","Any one of: Holstein, Brown Swiss, Guernsey, Ayrshire, Jersey, Red and White, and Milking Shorthorn",How Now Brown Cow?,How Now Brown Cow?,,breeds.jpg,,
