Question,Answer,Section,Topic,Question Image,Answer Image,,
"Prior to roughly 1600, the word “clue” (originally spelled “clew”) meant “a ball of thread”, but of course it now means “a fact or object that helps to solve a problem or mystery”. By association with which well-known legend did the meaning of “clue” change from “ball of thread” to its current meaning?","Theseus and the Minotaur, in which Theseus unspools a ball of thread on his way into the labyrinth in order to find his way back out. If your answer included Theseus, the Minotaur, or the labyrinth, you got it right.",Bonus,Word Origins,,theseusclew.jpg,,
The name of which contraption is a combination of the Greek words for “spiral” and “wing”?,Helicopter (helico + pter),Word Origins,Word Origins,,helicopter.jpeg,,
"Which word that is synonymous with “calamity” comes from the Greek for, literally, “ill-starred”, stemming from the ancient superstition that the stars determined one’s fate?",Disaster,Word Origins,Word Origins,,,,
The word “first” is derived from the superlative of which adjective that has a related meaning?,Fore,Word Origins,Word Origins,,,,
The name of the Civil War general pictured here is the origin of the word for a particular style of facial hair. What is the general’s name?,General Burnsides,Word Origins,Word Origins,burnsides.jpg,,,
Which English word is derived from an ancient Greek word that meant “foreigner” and that was onomatopoetic in that it resembled the sound of foreign or unintelligible speech?,Barbarian or barbaric,Word Origins,Word Origins,,barbarian.jpg,,
"This name of a region of the Earth comes from the Greek for “bear” (the animal), as it was thought to lie beneath Ursa Major, the bear constellation.",The Arctic (from Greek \emph{arktos}),Word Origins,Word Origins,,arctic.jpg,,
Which animal’s name is Afrikaans Dutch for “ground-pig”?,Aardvark,Word Origins,Word Origins,,aardvark.jpg,,
The word for this kind of book was taken directly from a Latin word that originally meant “treasury” but whose meaning expanded to mean any kind of repository.,Thesaurus,Word Origins,Word Origins,,roget.jpg,,
What current English word is an amalgam of the Ancient Greek words for “crappy” and “sound”?,Cacophony,Word Origins,Word Origins,,,,
"Which word’s origin is the Medieval Latin collective noun for the first three of the seven liberal arts (grammar, rhetoric, and logic), which itself ultimately comes from the Latin for “place where three roads meet”?",Trivia!,Word Origins,Word Origins,,triviatitleframelogo.png,,
"Which city in New York State passed a resolution on March 30, 1992 that read, “Be it resolved, on behalf of the snow-weary citizens of [this city], any further snowfall is expressly outlawed in [this city] until December 24, 1992”? (The snow didn’t get the memo.)",Syracuse,Bonus,Weather,,syracuse.jpg,,
"It’s a myth that this effect leads to toilets flushing in the opposite direction in Australia, but the effect does cause hurricanes in the Northern and Southern hemispheres to rotate in opposite directions. What is the name of the effect?",The Coriolis effect,Weather,Weather,,coriolis.jpg,,
"What is the meteorological term for the thin, wispy clouds pictured here?",Cirrus clouds,Weather,Weather,cirrus.jpg,,,
Which two U.S. states are the only two that have never had a high temperature higher than 100°F?,Alaska and Hawaii,Weather,Weather,,hightemp.png,,
The device pictured here measures wind speed and direction. What is it called?,Anemometer,Weather,Weather,anemometer.jpg,,,
"The Tri-State Tornado of 1925 is both the deadliest tornado in U.S. history and the one with the longest path, which was approximately 220mi long. Name any one of the three states it hit.","Missouri, Illinois, Indiana",Weather,Weather,,tristatetornado.jpg,,
