Question,Answer,Section,Topic,Question Image,Answer Image,Image Archive,
Name the album.,\emph{A Hard Day’s Night} (The Beatles),Album by Album Art,Album by Album Art,harddaysnight.jpeg,harddaysnightanswer.png,,
Name the album., \emph{The Wall} (Pink Floyd),Album by Album Art,Album by Album Art,thewall.jpg,wallanswer.jpeg,,
Name the album.,\emph{Straight Outta Compton} (N.W.A),Album by Album Art,Album by Album Art,straightouttacompton.jpeg,comptonanswer.jpeg,,
Name the album.,\emph{What’s Going On} (Marvin Gaye),Album by Album Art,Album by Album Art,whatsgoingon.jpeg,gayeanswer.jpeg,,
Name the album.,\emph{\ldots{}And Justice For All} (Metallica),Album by Album Art,Album by Album Art,andjusticeforall.jpeg,justiceanswer.jpeg,,
Name the album.,\emph{A Rush of Blood to the Head} (Coldplay),Album by Album Art,Album by Album Art,rushofblood.jpeg,rushanswer.jpeg,,
Name the album.,\emph{War} (U2),Album by Album Art,Album by Album Art,u2war.jpeg,waranswer.jpeg,,
Name the album.,\emph{OK Computer} (Radiohead),Album by Album Art,Album by Album Art,okcomputer.jpeg,okcompanswer.jpeg,,
Name the album.,\emph{Remain in Light} (The Talking Heads),Album by Album Art,Album by Album Art,remaininlight.jpeg,remaininlightanswer.jpeg,,
Name the album.,\emph{Bookends} (Simon and Garfunkel),Album by Album Art,Album by Album Art,bookends.jpeg,bookendsanswer.jpeg,,
Pictured here is Spencer Elden recreating a photo of himself as a baby that became a famous album cover. What was the album?,\emph{Nevermind} (Nirvana),Bonus,Album by Album Art,nevermind.jpg,,,
"The bells of Notre Dame all have names.  What is the name of the oldest bell, cast in 1681?",Emmanuel,Bonus,France,emannuelbell.jpg,,,
"What is the part of the Mediterranean coast of France that includes Nice, Cannes, and St. Tropez called? ",The Riviera or la Côte d’Azur,France,France,,riviera.jpg,,
"Within 5 million, what is the population of France?",Approximately 67 million (we will accept 62 million to 72 million),France,France,,francepop.jpg,,
"What square (""place"") in Paris has a giant sundial at its center?",Place de la Concorde,France,France,,concorde.jpg,,
How many arrondissements does Paris have?,20,France,France,,arrondissement.jpg,,
What city is generally regarded as the culinary capital of France?,Lyon,France,France,,lyon.jpg,,
What is the highest mountain in France?,"Mont Blanc (15,774 feet / 4,810m)",France,France,,montblanc.jpg,,
"In what order do the French refer to the colors of their flag (which are red, white and blue)?","Blue, white and red",France,France,,frenchflag.png,,
What is the name of the French armed force that is made up of non-French citizens?,The Foreign Legion,France,France,,foreignlegion.jpg,,
What mountain range forms a natural boundary between France and Spain?,The Pyrenees,France,France,,pyrenees.jpg,,
What year did the French Revolution (the one that involved the storming of the Bastille) begin?,1789,France,France,,frenchrev.jpg,,
What is the principle city served by LHR?,London (London Heathrow Airport),Airport Codes,Airport Codes,,heathrow.jpg,,
What is/are the principle city/cities served by DFW?,Dallas or Fort Worth; you only needed one (Dallas/Fort Worth International Airport),Airport Codes,Airport Codes,,dfw.jpg,,
What is the principle city served by PHX?,Phoenix (Phoenix Sky Harbor International Airport),Airport Codes,Airport Codes,,phoenix.jpg,,
What is the principle city served by FRA?,Frankfurt (Frankfurt am Main Airport),Airport Codes,Airport Codes,,fra.jpg,,
What is the principle city served by FCO?,Rome (Rome-Fiumicino International Airport “Leonardo da Vinci”),Airport Codes,Airport Codes,,fco.jpg,,
What is the principle city served by PEK?,Beijing (Beijing Capital International Airport),Airport Codes,Airport Codes,,pek.jpg,,
What is the principle city served by ORD?,Chicago (Chicago O'Hare International Airport),Airport Codes,Airport Codes,,ohare.jpg,,
What is the principle city served by CDG?,Paris (Charles de Gaulle Airport),Airport Codes,Airport Codes,,cdg.jpg,,
What is the principle city served by LGA?,New York (LaGuardia Airport),Airport Codes,Airport Codes,,lga.jpg,,
What is/are the principle city/cities served by BWI?,Baltimore or D.C.; you only needed one (Baltimore-Washington International Airport),Airport Codes,Airport Codes,,bwi.jpg,,
What is the principle city served by YYZ?,Toronto (Toronto Pearson International Airport),Bonus,Airport Codes,,yyz.jpg,,
"August 28, 1963",March on Washington/Martin Luther King delivers “I Have a Dream” Speech,Big Dates in History,Big Dates in History,,mlk.jpg,,
"April 9, 1865",Lee surrenders to Grant/End of the Civil War,Big Dates in History,Big Dates in History,,lee.jpg,,
"May 8, 1945",V-E Day/Victory in Europe Day,Big Dates in History,Big Dates in History,,veday.jpg,,
"December 25, 800",Charlemagne crowned Roman Emperor (precursor to the Holy Roman Emperor),Big Dates in History,Big Dates in History,,charlemagne.jpg,,
"June 8, 1215",King John signs Magna Carta at Runnymede,Big Dates in History,Big Dates in History,,kingjohn.jpg,,
"June 6, 1944",D-Day/Allied invasion of Normandy,Big Dates in History,Big Dates in History,,dday.jpg,,
"October 19, 1781",Surrender of the British in the Revolutionary War,Big Dates in History,Big Dates in History,,revwar.jpg,,
"March 8, 1917",Start of the Russian Revolution,Big Dates in History,Big Dates in History,,russia.jpg,,
"November 11, 1918",End of WWI,Big Dates in History,Big Dates in History,,wwi.jpg,,
"March 15, 44 BCE",Julius Caesar assassinated,Big Dates in History,Big Dates in History,,caesar.jpg,,
"December 1, 1955",Rosa Parks arrested for refusing to move to the back of the bus ,Bonus,Big Dates in History,,rosaparks.jpg,,
You’re in good hands.,Allstate,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,allstate.jpg,,
"Tastes so good, cats ask for it by name.",Meow Mix,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,meowmix.jpg,,
Apply directly to the forehead.,HeadOn,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,headon.jpg,,
The breakfast of champions.,Wheaties,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,wheaties.jpg,,
The happiest place on Earth.,Disneyland (Disney World's is “The Most Magical Place on Earth”. The slogan for all of the Disney Parks is “Where Dreams Come True”.),Products and Companies By Their Slogans,Products and Companies By Their Slogans,,disneyland.jpg,,
Pizza pizza!,Little Caesar’s,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,littlecaesars.png,,
"Once you pop, you can’t stop.",Pringles,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,pringles.jpg,,
Because you’re worth it.,L’Oréal,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,loreal.jpeg,,
Quality never goes out of style.,Levi’s,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,levis.jpg,,
Imagination at work.,General Electric,Products and Companies By Their Slogans,Products and Companies By Their Slogans,,ge.jpg,,
"As per the unofficial U.S. Postal Service creed inscribed on the main USPS building in New York, which four things will not “stay these couriers from the swift completion of their appointed rounds”?","In any order: snow, rain, heat, and gloom of night",Bonus,Products and Companies By Their Slogans,,usps.jpg,,
What is the holiday celebrated by many  Indians and Indian-Americans on which participants throw colored powder on one another?,Holi,Holidays and Observances,Holidays and Observances,,holi.jpg,,
What holiday is celebrated in Canada on the second Monday in October?,Thanksgiving,Holidays and Observances,Holidays and Observances,,canadathanksgiving.jpg,,
What offbeat holiday that occurs on January 19th each year might best be observed at a movie theater?,National Popcorn Day,Holidays and Observances,Holidays and Observances,,popcorn.jpg,,
Memorial Day originally honored soldiers who died in which war?,The Civil War,Holidays and Observances,Holidays and Observances,,memday.jpg,,
"To within three years, in what year was Martin Luther King Jr. Day first observed as a national holiday?",1986 (1983-.-1989 will be accepted),Holidays and Observances,Holidays and Observances,,mlkday.jpg,,
Which president made Thanksgiving a national holiday?,Abraham Lincoln (1863),Holidays and Observances,Holidays and Observances,,lincoln.jpg,,
What date is flag day?,June 14th,Holidays and Observances,Holidays and Observances,,flag.jpg,,
On which offbeat holiday that occurs on September 19th each year should you sound like Blackbeard?,International Talk Like a Pirate Day,Holidays and Observances,Holidays and Observances,,pirate.png,,
This holiday that occurs on June 19th celebrates the freeing in Texas of the last American slaves to be freed.,Juneteenth,Holidays and Observances,Holidays and Observances,,juneteenth.jpg,,
What is the best-selling Christmas song of all time?,\emph{All I Want for Christmas is You} by Mariah Carey (6x multi-platinum),Holidays and Observances,Holidays and Observances,,mariah.jpg,,
"To within five years, in which year did the Times Square New Year’s Eve ball first drop?",1907 (1902-.-1912 will be accepted),Bonus,Holidays and Observances,,nye.JPG,,
"!Yo, dude, I'm in our state’s capital city.
!Cool, so you're in *.",Pierre,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,pierre.jpg,
"!Hey, I'm at that arena with corn on the facade.
!Yo my man, I would love to go to the ***.",Mitchell Corn Palace,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,cornpalace.jpg,
"!I just got admitted to the flagship university of our state university system but I don't know where it's located.
!It's like a miracle you even got accepted. It's in *.",Vermillion,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,vermillion.jpeg,
"!Duuuude, my weekend is ruined.  I have a paper about Mount Rushmore due on Monday and I don't even who the sculptor was.
!You've heard about the internet, right? Anyway, it was **.",Gutzon Borglum,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,borglum.jpeg,
"!Yo, now that I'm out of college, I want to get a job in the biggest economic sector in our state, but I have like no idea what it is.
!Yeah, good luck with that.  You should have studied something besides jello shots if you wanted to work in *.",Agriculture/Farming,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,farm.jpg,
"!Hey someday we're going to have another monumental sculpture like Mount Rushmore here in SD. They've been working on it since 1948.
!Who's it of? Another president? 
!No, the famous Oglala Lakota warrior who fought in the Black Hills Wars and at Little Bighorn.
!Oh, you mean **.",Crazy Horse,All the Cool Kids are Texting about South Dakota,All the Cool Kids are Texting about South Dakota,,,crazyhorse.jpg,
