Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
"Fill in the blank in the first sentence of the Constitution: “We the People of the United States, in Order to form a more perfect *, establish \ldots{}”.",Union,The Constitution,The Constitution,,preamble.jpg,,
Which amendment gave rise to the income tax?,The 16th Amendment,The Constitution,The Constitution,,incometax.jpg,,
"During the Constitutional Convention, what was the name of the compromise that the large and small states of the Union made in which they agreed that the U.S. would have a bicameral legislature composed of an upper house with equal representation from each state and a lower house with representation proportional to states’ populations? (It has multiple names; any one will do.)",The Great Compromise / The Connecticut Compromise / The Sherman Compromise,The Constitution,The Constitution,,connecticutcompromise.jpg,,
"The Constitution describes the powers and limitations of the three branches of government. Which branch does it describe first, in Article I?",The legislative branch / Congress,The Constitution,The Constitution,,congress.png,,
"Of the thirteen original states, which one was the last to ratify the Constitution?",Rhode Island,The Constitution,The Constitution,,ratification.JPG,,
"The final article of the Constitution, Article VII, only contains a single sentence, which provides that how many of the original thirteen states must sign the Constitution in order for it to be adopted by the signatory states?",Nine,The Constitution,The Constitution,,articlevii.jpg,,
In which city was the Constitutional Convention held?,Philadelphia,The Constitution,The Constitution,,philly.jpg,,
In which building is the original copy of the Constitution stored?,The National Archives Building,The Constitution,The Constitution,,natlarchive.jpg,,
Which amendment to the Constitution saw the most time pass between its submission to the states and its ratification?,"The 27th Amendment. (Submitted Sept. 25, 1789, ratified May 5, 1992 -.-.- nearly 203 years).",The Constitution,The Constitution,,amendment27.jpg,,
"We all know that the Constitution says the president “shall \ldots{} have attained to the Age of thirty five Years”, but it also says the president shall have been “a Resident within the United States” for how many years?",Fourteen,The Constitution,The Constitution,,,,
"Of which amendment -.-.- perhaps the least controversial amendment, having never been the primary basis for a U.S. Supreme Court decision -.-.- did The Onion satirically write, “[this] Amendment Rights Group Celebrates Another Successful Year”?",The Third Amendment (quartering soldiers),Bonus,The Constitution,,naqa.jpg,,
"On January 12th, which country was devastated by a massive earthquake?",Haiti,It happened in 2010,It happened in 2010,,haiti.jpg,,
"On February 7th, which NFL  team won the Super Bowl?",New Orleans Saints,It happened in 2010,It happened in 2010,,saints.jpg,,
"On February 12th, the winter Olympic Games opened in which city?",Vancouver,It happened in 2010,It happened in 2010,,vancouver.jpg,,
"On April 14th, the volcano Eyjafjallajökull began erupting. The eruption ultimately caused problems with air travel. In which country was the volcano located?",Iceland,It happened in 2010,It happened in 2010,,iceland.jpg,,
What was the name of the drilling rig that exploded in the Gulf of Mexico on April 20th?,The Deepwater Horizon,It happened in 2010,It happened in 2010,,deepwater.jpg,,
Who became British Prime Minister on May 11th?,David Cameron,It happened in 2010,It happened in 2010,,cameron.jpg,,
"On May 29th, which MLB pitcher became the 20th MLB pitcher to throw a perfect game?",Roy Halladay (Philadelphia Phillies),It happened in 2010,It happened in 2010,,halladay.jpg,,
"On July 3rd, who won the Wimbledon Women's Championship?",Serena Williams,It happened in 2010,It happened in 2010,,serena.jpg,,
"On November 1st, which team won the World Series?",San Francisco Giants,It happened in 2010,It happened in 2010,,bumgarner.jpg,,
"On December 10th, who was awarded the Nobel Peace Prize while imprisoned?",Chinese human rights activist Liu Xiaobo,It happened in 2010,It happened in 2010,,xiaobo.jpg,,
"On June 13th, which play took the Tony Award for best play?",Red,Bonus,It happened in 2010,,redplay.jpg,,
What is the name of the deepest trench in the ocean?,Mariana Trench or Marianas Trench,Under the Sea,Under the Sea,,mariana.jpeg,,
"What is the name of the filter, visible here as the hairy curtain in the whale’s mouth, that some species of whale use to filter small animals out of seawater?",Baleen / Whalebone,Under the Sea,Under the Sea,baleen.jpg,,,
"Unlike most other vertebrates, sharks’ bones are not rigid, as they don’t contain calcium; instead, their bones are made of what flexible substance?",Cartilage,Under the Sea,Under the Sea,,cartilage.jpg,,
"Which of the Seven Wonders of the Ancient World is the only one that, today, has a significant proportion of its remains underwater?",The Lighthouse of Alexandria,Under the Sea,Under the Sea,,alexandria.jpeg,,
"To help create artificial reefs, New York City has dumped over 2,500 of what large object into the ocean?",Subway cars,Under the Sea,Under the Sea,,subwayreef.jpg,,
“Benthos” refers to the community of organisms that inhabit which part of the ocean?,The benthic zone / the seabed,Under the Sea,Under the Sea,,benthic.jpg,,
In which ocean is the longest underwater mountain chain located?,The Atlantic (the Mid-Atlantic Ridge),Under the Sea,Under the Sea,,atlanticridge.jpg,,
"These pictures are all of the same species of octopus, which has evolved to imitate other underwater creatures. What is the (apt!) name of this species of octopus?",Mimic octopus,Under the Sea,Under the Sea,mimic.jpg,,,
"Despite the lack of sunlight there, the deepest parts of the ocean are still home to living creatures thanks to which geological features in the ocean floor that eject hot, nutrient-rich water?",Hydrothermal vents,Under the Sea,Under the Sea,,hydrothermal.jpg,,
The name of the brownish color sepia comes from the Ancient Greek word for the underwater animal whose ink was used to make the first sepia-colored ink. What was the animal?,Cuttlefish,Under the Sea,Under the Sea,,cuttlefish.jpg,,
"What is the difference between flotsam and jetsam? (Despite the category, both flotsam and jetsam are found on the ocean’s surface. And no, we’re not talking about the eels in \emph{The Little Mermaid}.)","Flotsam is wreckage that \emph{floats} after a ship has sunk, whereas jetsam is cargo thrown overboard or \emph{jettisoned} before a ship has sunk (usually to reduce the ship’s weight).",Bonus,Under the Sea,,flotsam.jpg,,
What was the original name of Columbia University?,King's College,Colleges and Universities,Colleges and Universities,,columbia.png,,
Which college is generally  thought to be the birthplace of college football? ,Rutgers,Colleges and Universities,Colleges and Universities,,rutgers.jpg,,
Which university is affiliated with the Jet Propulsion Laboratory?,Caltech,Colleges and Universities,Colleges and Universities,,caltech.png,,
Which U.S. college was the first to grant a degree to a woman?,"Oberlin, in 1841",Colleges and Universities,Colleges and Universities,,oberlin.png,,
"Which U.S. university  has a 400-member Squirrel Club, the sole activity of which is to feed squirrels?",University of Michigan,Colleges and Universities,Colleges and Universities,,michigan.jpg,,
"Pres. Obama got his undergraduate degree at Columbia, but he transferred there from another college. From which college did he transfer?",Occidental College,Colleges and Universities,Colleges and Universities,,occy.png,,
What college has won the most NCAA college basketball championships?,"UCLA, with 11",Colleges and Universities,Colleges and Universities,,ucla.jpg,,
What was the name of the student who led the 1964-.-1965 Free Speech Movement at Berkeley?,Mario Savio,Colleges and Universities,Colleges and Universities,,salvio.jpg,,
Which university was founded by Thomas Jefferson?,The University of Virginia,Colleges and Universities,Colleges and Universities,,uva.jpg,,
Fill in the blank in this college fight song: “I'm a Ramblin’ Wreck from Georgia Tech and a hell of a[n] *.” ,Engineer,Colleges and Universities,Colleges and Universities,,gatech.jpeg,,
At what college was Phi Beta Kappa founded?,College of William and Mary,Bonus,Colleges and Universities,,pbk.jpg,,
 Name the building.,"Centre Pompidou / Pompidou Museum, Paris -.-.- Renzo Piano and Richard Rogers",Famous Buildings,Famous Buildings,pompidou.jpg,,,
Name the building.,"Walt Disney Concert Hall, Los Angeles -.-.- Frank Gehry",Famous Buildings,Famous Buildings,disneyconcerthall.jpg,,,
Name the building.,"Panthéon, Paris",Famous Buildings,Famous Buildings,pantheonparis.jpeg,,,
Name the building.,"Pantheon, Rome",Famous Buildings,Famous Buildings,pantheonrome.jpg,,,
Name the building.,"Monticello, Charlottesville, Virginia -.-.- Thomas Jefferson",Famous Buildings,Famous Buildings,monticello.jpg,,,
Name the building.,"La Sagrada Familia, Barcelona -.-.- Antoni Gaudí",Famous Buildings,Famous Buildings,sagrada.jpg,,,
Name the building (interior and exterior shown).,"Johnson Wax Building / Johnson Wax Headquarters, Racine, Wisconsin -.-.- Frank Lloyd Wright",Famous Buildings,Famous Buildings,johnsonwax.jpg,,,
Name the building.,"John Hancock Tower, Boston -.-.- I. M. Pei & Partners",Famous Buildings,Famous Buildings,hancocktower.jpeg,,,
Name the building.,"Tribune Tower, Chicago -.-.- John Mead Howells and Raymond Hood",Famous Buildings,Famous Buildings,tribune.jpg,,,
Name the building.,"Seagram Building, New York City -.-.- Mies van der Rohe and Philip Johnson ",Famous Buildings,Famous Buildings,seagram.jpg,,,
Which famous house is this the floor plan of?,"Fallingwater, Mill Run, Pennsylvania -.-.- Frank Lloyd Wright",Bonus,Famous Buildings,fallingwaterfloorplan.jpg,fallingwaterphoto.jpg,,
"What is the name of the person who, having won the Nobel Peace Prize at age 17, was the youngest person to have become a Nobel laureate?",Malala Yousafzai,Nobel Prize Winners,Nobel Prize Winners,,malala.jpg,,
Who is the only person to have been awarded two unshared Nobel Prizes? ,"Linus Pauling, who won the 1954 Nobel Prize in Chemistry and the 1962 Nobel Peace Prize",Nobel Prize Winners,Nobel Prize Winners,,pauling.jpg,,
Who was the oldest person to have received a Nobel prize?,"John B. Goodenough, Chemistry, 2019, at 97 years of age",Nobel Prize Winners,Nobel Prize Winners,,goodenough.jpg,,
What are the six Nobel prize categories? (We need all six.),"Physics, Chemistry, Medicine, Literature, Peace and Economics",Bonus,Nobel Prize Winners,,nobel.jpg,,
What is the name of the French author who declined the 1964 Nobel Prize for Literature?,Jean-Paul Sartre,Nobel Prize Winners,Nobel Prize Winners,,sartre.jpg,,
Who was awarded the 1973 Nobel Peace Prize jointly with Henry Kissinger?,"Le Duc Tho, who negotiated the cease-fire between the U.S. and Vietnam on behalf of Vietnam",Nobel Prize Winners,Nobel Prize Winners,,leductho.jpg,,
This immediate family (parents and child) has three Nobel prize winners.  Name the family.,"The Curie family -.-.- Pierre Curie, Marie Curie and their daughter Irène Joliot-Curie.",Nobel Prize Winners,Nobel Prize Winners,,curies.jpg,,
"When University of Chicago professor Robert Lucas won the 1995 Nobel prize for economics he had to immediately give one-half of his prize amount to someone, and it wasn't the taxing authorities. Who received half of his prize money?",His ex-wife -.-.- she was entitled under the couple's divorce decree to receive half of any of his earnings from winning a Nobel prize. Some good lawyering there. ,Nobel Prize Winners,Nobel Prize Winners,,divorce.jpg,,
Which Nobel prize winner auctioned off his medal for $4.7 million in 2014?,James Watson ,Nobel Prize Winners,Nobel Prize Winners,,watsoncrick.jpg,,
In what year were the first Nobel prizes awarded (within five years either way)?,1901 (give yourself a point if you picked a year between 1896 and 1906),Nobel Prize Winners,Nobel Prize Winners,,firstnobel.jpg,,
Albert Einstein won the 1921 Nobel prize for physics. For what discovery did he receive the prize?,The photoelectric effect,Nobel Prize Winners,Nobel Prize Winners,,photoelectric.jpeg,,
Which Christian saint is depicted here slaying a dragon?,Saint George,Myths and Legends,Myths and Legends,georgedragon.jpg,,,
"In Norse mythology, Odin had a pair of what kind of birds that would report the goings-on of the world to him?",Ravens,Myths and Legends,Myths and Legends,,odinravens.jpg,,
"In the \emph{Odyssey}, when the cyclops Polyphemus asks Odysseus his name, what does Odysseus answer?",“Nobody”,Myths and Legends,Myths and Legends,,nobody.jpg,,
"The ancient Egyptian symbol here, called a \emph{wadjet}, is also known as the eye of which Egyptian god?",Horus,Myths and Legends,Myths and Legends,wadget.png,horus.png,,
